,duration,director_fb_likes,actor_1_fb_likes,gross,num_voted_users,facenumber_in_poster,budget,title_year,aspect_ratio,movie_fb_likes,country_UK,country_USA,other_actors_fb_likes,critic_reviews_ratio,imdb_classification
0,178.0,0.0,1000.0,760505847.0,886204,0.0,237000000.0,2009.0,1.78,33000,False,True,1791.0,0.23673870333988212,2
1,169.0,563.0,40000.0,309404152.0,471220,0.0,300000000.0,2007.0,2.35,0,False,True,6000.0,0.24394184168012925,2
2,148.0,0.0,11000.0,200074175.0,275868,1.0,245000000.0,2015.0,2.35,85000,True,False,554.0,0.6056338028169014,2
3,164.0,22000.0,27000.0,448130642.0,1144337,0.0,250000000.0,2012.0,2.35,164000,False,True,46000.0,0.30099962976675304,3
5,132.0,475.0,640.0,73058679.0,212204,1.0,263700000.0,2012.0,2.35,24000,False,True,1162.0,0.6260162601626016,2
6,156.0,0.0,24000.0,336530303.0,383056,0.0,258000000.0,2007.0,2.35,0,False,True,15000.0,0.20609884332281808,2
7,100.0,15.0,799.0,200807262.0,294810,1.0,260000000.0,2010.0,1.85,29000,False,True,837.0,0.8372093023255814,2
8,141.0,0.0,26000.0,458991599.0,462669,4.0,250000000.0,2015.0,2.35,118000,False,True,40000.0,0.5684870188003581,2
9,153.0,282.0,25000.0,301956980.0,321795,3.0,250000000.0,2009.0,2.35,10000,True,False,21000.0,0.3854059609455293,2
10,183.0,0.0,15000.0,330249062.0,371639,0.0,250000000.0,2016.0,2.35,197000,False,True,6000.0,0.2229953611663353,2
11,169.0,0.0,18000.0,200069408.0,240396,0.0,209000000.0,2006.0,2.35,0,False,True,10903.0,0.18335445711871567,2
12,106.0,395.0,451.0,168368427.0,330784,1.0,200000000.0,2008.0,2.35,0,True,False,805.0,0.3242156074014481,2
13,151.0,563.0,40000.0,423032628.0,522040,2.0,225000000.0,2006.0,2.35,5000,False,True,6000.0,0.17085152838427947,2
14,150.0,563.0,40000.0,89289910.0,181792,1.0,215000000.0,2013.0,2.35,48000,False,True,3000.0,0.6329113924050633,2
